transaction_date,region,product_category,channel,customer_segment,transaction_amount,monthly_active_users,churn_flag,support_tickets,marketing_spend
2024-12-09,West,Mortgages,Mobile App,Business,2691.34,4509,0,16,37010.23
2024-11-02,South,Savings,Mobile App,Premium,78.52,4764,0,5,23032.62
2023-04-09,North,Savings,Mobile App,Business,353.12,648,0,11,45212.94
2024-07-11,West,Savings,Mobile App,Premium,13557.84,4404,0,17,29752.69
2023-05-18,North,Insurance,ATM,Business,841.42,2722,0,0,4180.16
2024-09-13,East,Mortgages,ATM,Student,321.76,1856,0,5,33732.27
2024-12-25,West,Loans,ATM,Business,20039.35,2313,0,1,39717.54
2023-12-31,North,Insurance,Mobile App,Premium,5031.36,123,0,5,23711.14
2023-05-09,North,Savings,Mobile App,Student,2836.92,4807,0,13,41538.32
2023-10-31,East,Credit Cards,Online,Student,95.72,4266,0,11,40621.08
2023-12-04,North,Mortgages,Branch,Business,9139.1,2040,0,20,10665.13
2024-11-14,East,Credit Cards,Online,Premium,13689.54,4487,0,11,21228.77
2024-12-14,North,Savings,Mobile App,Retail,5592.64,3513,0,13,19404.51
2023-03-25,East,Savings,ATM,Business,1324.21,1248,0,19,21111.75
2024-04-24,West,Loans,Mobile App,Premium,2996.35,1678,0,19,15636.88
2024-02-04,North,Loans,Online,Premium,2053.72,2082,0,13,29990.97
2024-01-09,East,Savings,Branch,Retail,1830.06,3320,0,6,47184.7
2024-06-21,North,Savings,Mobile App,Business,2461.97,949,0,13,5059.79
2024-03-03,East,Mortgages,Branch,Business,575.29,675,0,17,25716.68
2023-07-06,Central,Mortgages,Online,Retail,1597.91,2962,1,9,13994.77
2023-04-27,North,Credit Cards,ATM,Student,653.78,3858,0,2,7771.04
2024-03-30,South,Mortgages,ATM,Student,2195.47,1413,0,4,7233.06
2024-08-02,South,Credit Cards,Mobile App,Premium,4073.17,2654,0,12,26296.81
2023-03-04,West,Insurance,Branch,Business,135.97,2486,0,0,39317.15
2023-01-22,East,Loans,ATM,Student,11246.27,1164,0,18,10815.09
2023-06-14,North,Loans,Mobile App,Premium,2082.12,3828,0,4,41836.92
2023-09-20,West,Mortgages,Online,Business,549.4,4557,0,9,36086.23
2024-12-28,North,Credit Cards,Online,Student,829.96,1623,0,3,39505.86
2023-09-09,North,Credit Cards,Branch,Business,8301.6,860,0,13,9631.26
2023-08-13,North,Mortgages,ATM,Business,214.38,4358,0,3,19566.69
2024-08-27,West,Mortgages,ATM,Student,836.91,1426,0,13,22264.48
2023-06-19,North,Mortgages,Mobile App,Premium,7364.48,4821,0,6,18405.14
2023-05-02,East,Loans,Branch,Student,2978.58,2065,0,11,47541.67
2023-11-28,West,Savings,Branch,Premium,5154.76,1554,0,19,19747.28
2024-04-17,South,Insurance,ATM,Premium,113.81,469,0,9,37592.01
2024-12-19,West,Savings,Online,Premium,961.48,2010,0,18,38132.5
2023-01-18,North,Loans,Mobile App,Premium,158.61,809,0,15,15516.36
2024-02-21,Central,Insurance,Mobile App,Retail,1623.76,2858,0,12,12839.65
2024-08-03,East,Savings,ATM,Premium,2174.75,968,0,12,47745.09
2024-12-16,Central,Credit Cards,Mobile App,Student,6616.86,4490,0,14,49325.91
2024-09-11,North,Savings,Mobile App,Student,1019.32,3992,0,12,24266.44
2023-10-11,North,Loans,Online,Retail,846.59,1961,0,3,21909.78
2024-09-20,North,Insurance,Online,Student,5349.79,246,0,13,18524.68
2023-12-17,West,Mortgages,Mobile App,Business,365.12,1581,1,10,28433.91
2023-06-06,East,Insurance,ATM,Premium,240.26,4842,0,14,48327.19
2023-03-23,East,Credit Cards,ATM,Business,559.54,866,1,4,18826.58
2024-10-06,East,Insurance,ATM,Student,4263.64,2006,0,11,24623.95
2023-01-05,East,Credit Cards,ATM,Premium,2614.13,2833,0,20,25012.56
