Transaction_ID,Date,Description,Category,Type,Amount,Balance
TXN-10000,2026-01-20,Tesco,Groceries,Debit,92.3,4907.7
TXN-10001,2026-03-24,Vue Cinemas,Entertainment,Debit,16.08,4891.62
TXN-10002,2026-02-05,NatWest Group,Salary,Credit,2085.47,6977.09
TXN-10003,2026-03-11,Steam,Entertainment,Debit,37.34,6939.75
TXN-10004,2026-02-21,NatWest Group,Salary,Credit,3449.53,10389.28
TXN-10005,2026-01-15,Pizza Express,Dining,Debit,114.25,10275.03
TXN-10006,2026-03-11,Private Landlord,Rent,Debit,887.11,9387.92
TXN-10007,2026-03-18,O2,Utilities,Debit,7.9,9380.02
TXN-10008,2026-01-21,Costa Coffee,Dining,Debit,29.26,9350.76
TXN-10009,2026-04-10,NHS,Salary,Credit,4140.73,13491.49
TXN-10010,2026-04-03,Trainline,Transport,Debit,87.81,13403.68
TXN-10011,2026-03-19,Estate Agents,Rent,Debit,1133.06,12270.62
TXN-10012,2026-02-22,TfL,Transport,Debit,18.23,12252.39
TXN-10013,2026-01-31,O2,Utilities,Debit,46.01,12206.38
TXN-10014,2026-04-08,TfL,Transport,Debit,18.3,12188.08
TXN-10015,2026-01-13,Vue Cinemas,Entertainment,Debit,23.41,12164.67
TXN-10016,2026-01-18,Trainline,Transport,Debit,148.97,12015.7
TXN-10017,2026-03-25,NHS,Salary,Credit,4234.38,16250.08
TXN-10018,2026-03-25,Nandos,Dining,Debit,106.21,16143.87
TXN-10019,2026-01-26,Asda,Groceries,Debit,87.93,16055.94
TXN-10020,2026-02-24,Private Landlord,Rent,Debit,1481.2,14574.74
TXN-10021,2026-02-23,Steam,Entertainment,Debit,73.36,14501.38
TXN-10022,2026-03-21,Tech Corp Ltd,Salary,Credit,3055.73,17557.11
TXN-10023,2026-02-11,Tech Corp Ltd,Salary,Credit,3365.68,20922.79
TXN-10024,2026-03-23,British Gas,Utilities,Debit,111.67,20811.12
TXN-10025,2026-02-17,O2,Utilities,Debit,122.41,20688.71
TXN-10026,2026-03-29,British Gas,Utilities,Debit,126.4,20562.31
TXN-10027,2026-03-05,Uber,Transport,Debit,106.85,20455.46
TXN-10028,2026-01-26,Private Landlord,Rent,Debit,800.49,19654.97
TXN-10029,2026-02-08,Costa Coffee,Dining,Debit,121.15,19533.82
TXN-10030,2026-04-10,Uber,Transport,Debit,122.1,19411.72
TXN-10031,2026-01-13,NHS,Salary,Credit,3050.57,22462.29
TXN-10032,2026-01-26,Thames Water,Utilities,Debit,133.55,22328.74
TXN-10033,2026-02-04,NHS,Salary,Credit,2317.72,24646.46
TXN-10034,2026-03-09,Trainline,Transport,Debit,14.75,24631.71
TXN-10035,2026-01-21,British Gas,Utilities,Debit,10.37,24621.34
TXN-10036,2026-02-13,British Gas,Utilities,Debit,110.6,24510.74
TXN-10037,2026-01-16,Tesco,Groceries,Debit,133.68,24377.06
TXN-10038,2026-04-04,BP Shell,Transport,Debit,80.05,24297.01
TXN-10039,2026-03-05,NHS,Salary,Credit,3316.63,27613.64
TXN-10040,2026-02-21,NatWest Group,Salary,Credit,2052.16,29665.8
TXN-10041,2026-01-17,Asda,Groceries,Debit,121.04,29544.76
TXN-10042,2026-04-05,Spotify,Entertainment,Debit,60.6,29484.16
TXN-10043,2026-01-16,Uber,Transport,Debit,95.96,29388.2
TXN-10044,2026-02-20,British Gas,Utilities,Debit,43.1,29345.1
TXN-10045,2026-02-09,Private Landlord,Rent,Debit,849.87,28495.23
TXN-10046,2026-02-08,EE,Utilities,Debit,88.38,28406.85
TXN-10047,2026-01-22,BP Shell,Transport,Debit,116.98,28289.87
TXN-10048,2026-01-19,Vue Cinemas,Entertainment,Debit,33.13,28256.74
TXN-10049,2026-04-09,Private Landlord,Rent,Debit,1214.5,27042.24
TXN-10050,2026-02-15,Sainsburys,Groceries,Debit,91.86,26950.38
TXN-10051,2026-01-23,Estate Agents,Rent,Debit,1380.48,25569.9
TXN-10052,2026-03-22,NatWest Group,Salary,Credit,2555.18,28125.08
TXN-10053,2026-01-23,Tesco,Groceries,Debit,125.76,27999.32
TXN-10054,2026-02-07,Pizza Express,Dining,Debit,92.47,27906.85
TXN-10055,2026-02-18,Spotify,Entertainment,Debit,84.02,27822.83
TXN-10056,2026-04-12,British Gas,Utilities,Debit,79.51,27743.32
